Max: 200038996 Min: 2
MaxVal: 200038996.228362 MinVal: 2.000144
-   *     --|----------  , 0.000703,  0.068048,  0.191911,  0.409183,  0.918017
--     *    |-----       , 0.010193,  0.082326,  0.300243,  0.528317,  0.741575
-      *    |------      , 0.004706,  0.071667,  0.278319,  0.487766,  0.735966
----     *  | -------    , 0.012822,  0.191653,  0.366438,  0.584292,  0.839772
--     *    |--------    , 0.014251,  0.098705,  0.275100,  0.475353,  0.851884
-       *   |  -------   , 0.011052,  0.046494,  0.349795,  0.619683,  0.878803
--     *    |   -------  , 0.026068,  0.115735,  0.292488,  0.659931,  0.912823
--     *   -|-------     , 0.015465,  0.081709,  0.282737,  0.430818,  0.749600
--     *   -|------      , 0.002199,  0.107201,  0.285541,  0.471144,  0.764281
--    *     |------      , 0.001706,  0.102448,  0.247797,  0.470564,  0.722513
--  *     --|---------   , 0.011293,  0.084896,  0.176875,  0.436289,  0.885995
-       *   |-------     , 0.016082,  0.057007,  0.328962,  0.516282,  0.807494
-   *     --|------      , 0.007777,  0.053293,  0.185509,  0.404241,  0.768285
--    *     | ------     , 0.005204,  0.087261,  0.236972,  0.564012,  0.782317
-    *    --|------      , 0.006415,  0.051570,  0.187673,  0.364876,  0.694345
--    *     |  -----     , 0.013840,  0.093491,  0.269684,  0.589331,  0.795480

Max: 200039247 Min: 2
MaxVal: 200039247.159875 MinVal: 2.000186
-    *     -|------      , 0.005857,  0.068486,  0.203349,  0.451972,  0.783294
-        *  | ------     , 0.002132,  0.057071,  0.361750,  0.578760,  0.809025
-   *     --|---------   , 0.007442,  0.047513,  0.176028,  0.395745,  0.840878
-    *     -|------      , 0.005921,  0.069606,  0.204317,  0.463258,  0.751838
--   *      |----------  , 0.007300,  0.100671,  0.208006,  0.482873,  0.889341
--     *    |------      , 0.029827,  0.107826,  0.299546,  0.552003,  0.797109
-   *       |--------    , 0.005375,  0.067240,  0.174883,  0.491779,  0.793769
-    *      | -------    , 0.005461,  0.043504,  0.218588,  0.561941,  0.833328
----  *     |--------    , 0.034353,  0.159887,  0.256746,  0.477397,  0.819637
-   *      -|--------    , 0.028363,  0.070711,  0.173873,  0.395952,  0.781443
--        * |  ------    , 0.036366,  0.097932,  0.388768,  0.620425,  0.837929
--   *      |----        , 0.018756,  0.100789,  0.217839,  0.488313,  0.680938
--    *     |-------     , 0.005137,  0.107424,  0.227503,  0.470136,  0.747903
---   *     |    -----   , 0.002072,  0.133628,  0.239579,  0.672799,  0.863045
--   *    --|--------    , 0.023274,  0.089879,  0.233063,  0.416211,  0.841221
-      *    |  -----     , 0.005325,  0.059026,  0.274330,  0.534041,  0.733184
--   *    --|---------   , 0.000839,  0.078156,  0.203204,  0.415250,  0.857332
-     *   --|------      , 0.014434,  0.066328,  0.266540,  0.402748,  0.757677
